Експерт,Альтернатива,Критерій,Оцінка
Іван Петренко,AWS,Вартість ($/міс),460
Іван Петренко,AWS,Надійність (uptime %),99.99
Іван Петренко,AWS,Швидкість (мс),48
Іван Петренко,AWS,Технічна підтримка (1-10),9
Іван Петренко,AWS,Масштабованість (1-10),10
Іван Петренко,Azure,Вартість ($/міс),410
Іван Петренко,Azure,Надійність (uptime %),99.95
Іван Петренко,Azure,Швидкість (мс),55
Іван Петренко,Azure,Технічна підтримка (1-10),8
Іван Петренко,Azure,Масштабованість (1-10),9
Іван Петренко,Google Cloud,Вартість ($/міс),385
Іван Петренко,Google Cloud,Надійність (uptime %),99.95
Іван Петренко,Google Cloud,Швидкість (мс),42
Іван Петренко,Google Cloud,Технічна підтримка (1-10),7
Іван Петренко,Google Cloud,Масштабованість (1-10),9
Іван Петренко,DigitalOcean,Вартість ($/міс),105
Іван Петренко,DigitalOcean,Надійність (uptime %),99.90
Іван Петренко,DigitalOcean,Швидкість (мс),32
Іван Петренко,DigitalOcean,Технічна підтримка (1-10),6
Іван Петренко,DigitalOcean,Масштабованість (1-10),7
Олена Коваль,AWS,Вартість ($/міс),440
Олена Коваль,AWS,Надійність (uptime %),99.99
Олена Коваль,AWS,Швидкість (мс),45
Олена Коваль,AWS,Технічна підтримка (1-10),9
Олена Коваль,AWS,Масштабованість (1-10),10
Олена Коваль,Azure,Вартість ($/міс),395
Олена Коваль,Azure,Надійність (uptime %),99.96
Олена Коваль,Azure,Швидкість (мс),52
Олена Коваль,Azure,Технічна підтримка (1-10),8
Олена Коваль,Azure,Масштабованість (1-10),9
Олена Коваль,Google Cloud,Вартість ($/міс),375
Олена Коваль,Google Cloud,Надійність (uptime %),99.94
Олена Коваль,Google Cloud,Швидкість (мс),38
Олена Коваль,Google Cloud,Технічна підтримка (1-10),7
Олена Коваль,Google Cloud,Масштабованість (1-10),9
Олена Коваль,DigitalOcean,Вартість ($/міс),95
Олена Коваль,DigitalOcean,Надійність (uptime %),99.91
Олена Коваль,DigitalOcean,Швидкість (мс),28
Олена Коваль,DigitalOcean,Технічна підтримка (1-10),6
Олена Коваль,DigitalOcean,Масштабованість (1-10),7
Андрій Сидоров,AWS,Вартість ($/міс),470
Андрій Сидоров,AWS,Надійність (uptime %),99.99
Андрій Сидоров,AWS,Швидкість (мс),46
Андрій Сидоров,AWS,Технічна підтримка (1-10),9
Андрій Сидоров,AWS,Масштабованість (1-10),10
Андрій Сидоров,Azure,Вартість ($/міс),400
Андрій Сидоров,Azure,Надійність (uptime %),99.95
Андрій Сидоров,Azure,Швидкість (мс),58
Андрій Сидоров,Azure,Технічна підтримка (1-10),8
Андрій Сидоров,Azure,Масштабованість (1-10),9
Андрій Сидоров,Google Cloud,Вартість ($/міс),380
Андрій Сидоров,Google Cloud,Надійність (uptime %),99.95
Андрій Сидоров,Google Cloud,Швидкість (мс),40
Андрій Сидоров,Google Cloud,Технічна підтримка (1-10),7
Андрій Сидоров,Google Cloud,Масштабованість (1-10),9
Андрій Сидоров,DigitalOcean,Вартість ($/міс),100
Андрій Сидоров,DigitalOcean,Надійність (uptime %),99.90
Андрій Сидоров,DigitalOcean,Швидкість (мс),30
Андрій Сидоров,DigitalOcean,Технічна підтримка (1-10),6
Андрій Сидоров,DigitalOcean,Масштабованість (1-10),7
